iter	RMSE
182	2.475941414
183	2.464431647
184	2.45969351
185	2.447869457
186	2.445254673
187	2.435919494
188	2.433286759
189	2.422068235
190	2.419868593
191	2.416885522
192	2.405033324
193	2.402148023
194	2.398470268
195	2.396669458
196	2.391008627
197	2.388962557
198	2.37618791
199	2.369064666
200	2.364528293
201	2.362106254
202	2.342728517
203	2.340949272
204	2.334912175
205	2.332532384
206	2.326324524
207	2.31071703
208	2.308723815
209	2.306603856
210	2.298583984
211	2.294244342
212	2.292706629
213	2.285450217
214	2.284273204
215	2.274032197
216	2.270418979
217	2.260236693
218	2.253087505
219	2.248025038
220	2.243119761
221	2.241582405
222	2.231482375
223	2.225875334
224	2.224450536
225	2.219900287
226	2.211558483
227	2.210680932
228	2.209333237
229	2.203508718
230	2.202199503
231	2.187622182
232	2.181744232
233	2.177160455
234	2.172738315
235	2.1690248
236	2.158377639
237	2.154850258
238	2.153970374
239	2.149438893
240	2.137941306
241	2.134050313
242	2.132543484
243	2.131922152
244	2.127395669
245	2.115267435
246	2.102578182
247	2.093458747
248	2.092056236
249	2.09134943
250	2.083764593
251	2.075716975
252	2.066338309
253	2.057019279
254	2.040645179
255	2.033846337
256	2.026350043
257	2.019455969
258	2.009427622
259	2.003784765
260	1.999926855
261	1.998699882
262	1.997504922
263	1.992169945
264	1.97710478
265	1.973383232
266	1.956170665
267	1.952302239
268	1.94744702
269	1.93952
270	1.933233774
271	1.928974018
272	1.927879544
273	1.91205293
274	1.904088342
275	1.900703136
276	1.887998846
277	1.884865842
278	1.873905393
279	1.864037088
280	1.852350708
281	1.848395435
282	1.840484225
283	1.832806458
284	1.823008796
285	1.821416229
286	1.811986594
287	1.800706724
288	1.797968415
289	1.787881042
290	1.7808683
291	1.779324122
292	1.773775953
293	1.763781541
294	1.758248889
295	1.75237237
296	1.743961284
297	1.736207709
298	1.725012969
299	1.720134608
300	1.708531308
301	1.707017682
302	1.699626529
303	1.692660338
304	1.68033347
305	1.673850902
306	1.672870088
307	1.671465268
308	1.663974716
309	1.660158065
310	1.656370958
311	1.650732997
312	1.647271354
313	1.640760123
314	1.634147275
315	1.626142077
316	1.620612578
317	1.615797395
318	1.606469449
319	1.596866721
320	1.595350468
321	1.590954137
322	1.582800945
323	1.580866057
324	1.573521422
325	1.568205789
326	1.562443658
327	1.560332098
328	1.554569986
329	1.550143108
330	1.544325968
331	1.539386289
332	1.535486421
333	1.531384143
334	1.525524733
335	1.521633573
336	1.509094569
337	1.505459315
338	1.501941376
339	1.499931351
340	1.494074918
341	1.488787958
342	1.487747029
343	1.484511269
344	1.483500648
345	1.478796555
346	1.477898151
347	1.477022504
348	1.471939693
349	1.465350092
350	1.464490541
351	1.462346435
352	1.457813928
353	1.448122414
354	1.438732949
355	1.432903795
356	1.425125106
357	1.422068646
358	1.41485237
359	1.409480729
360	1.406292446
361	1.398761192
362	1.394377216
363	1.389359066
364	1.381841984
365	1.374985137
366	1.370391774
367	1.366185702
368	1.361757808
369	1.357034512
370	1.352847765
371	1.346147077
372	1.341074277
373	1.338343677
374	1.33626112
375	1.333515505
376	1.331550482
377	1.32832014
378	1.322311456
379	1.312275079
380	1.310309749
381	1.304734213
382	1.303321874
383	1.302582551
384	1.298215402
385	1.293202297
386	1.28632494
387	1.284459141
388	1.281881603
389	1.280136223
390	1.274787531
391	1.273290058
392	1.27234219
393	1.269952071
394	1.264432432
395	1.263516617
396	1.26000366
397	1.255215905
398	1.250729543
399	1.245326041
400	1.241247872
401	1.239825891
402	1.235782307
403	1.234222457
404	1.231822687
405	1.227661878
406	1.22443227
407	1.220500564
408	1.216770665
409	1.21234144
410	1.208839896
411	1.205806706
412	1.202892533
413	1.200676993
414	1.199382845
415	1.196257852
416	1.191753603
417	1.190288382
418	1.188880238
419	1.18786214
420	1.185786553
421	1.183477219
422	1.181622663
423	1.177658799
424	1.177097544
425	1.173000512
426	1.168872336
427	1.166893372
428	1.166345661
429	1.165601093
430	1.16427378
431	1.161600706
432	1.154910138
433	1.154300883
434	1.15379037
435	1.152476301
436	1.149823254
437	1.149296517
438	1.14731375
439	1.144679857
440	1.144121488
441	1.142317019
442	1.141292597
443	1.135557287
444	1.134028309
445	1.132874265
446	1.131049719
447	1.12824425
448	1.127716361
449	1.12134117
450	1.120824301
451	1.11757022
452	1.115902209
453	1.11123297
454	1.108375096
455	1.107775895
456	1.106153101
457	1.105672338
458	1.104563128
459	1.104049278
460	1.099278553
461	1.098700138
462	1.093309159
463	1.091034802
464	1.089980557
465	1.088097231
466	1.086299517
467	1.08259814
468	1.080115105
469	1.079530631
470	1.077248435
471	1.076688626
472	1.075206121
473	1.071297041
474	1.069022699
475	1.066552629
476	1.066188186
477	1.064757465
478	1.063322187
479	1.062845507
480	1.062299718
481	1.058650364
482	1.056608361
483	1.056267509
484	1.050945007
485	1.050424376
486	1.04843433
487	1.04323758
488	1.040267124
489	1.03692123
490	1.034952445
491	1.031454384
492	1.029261014
493	1.0289395
494	1.026146361
495	1.024179699
496	1.019395091
497	1.018960537
498	1.017712589
499	1.015919466
500	1.01436584
501	1.01185363
502	1.009955401
503	1.008191758
504	1.007777994
505	1.003317922
506	1.001779653
507	1.000281611
508	0.997448547
509	0.9960027513
510	0.995604788
511	0.9928857445
512	0.990217259
513	0.9895953406
514	0.9877943851
515	0.9838577878
516	0.9834680448
517	0.9820318743
518	0.9780122099
519	0.9751713867
520	0.97159121
521	0.9711756373
522	0.9694395888
523	0.968033959
524	0.9660505933
525	0.9649565602
526	0.963606499
527	0.9604980221
528	0.9577722272
529	0.9573701255
530	0.9557220597
531	0.9539678741
532	0.9529379948
533	0.9495338928
534	0.9471388982
535	0.9445143071
536	0.9430244093
537	0.9416330724
538	0.9390623571
539	0.9386764026
540	0.9372850809
541	0.9368519395
542	0.9355783737
543	0.9328425757
544	0.9304460208
545	0.929235629
546	0.9275680431
547	0.9263964633
548	0.9240585688
549	0.922133202
550	0.9207140443
551	0.9173411581
552	0.9169761045
553	0.9149582267
554	0.9110883097
555	0.9107247708
556	0.9094474304
557	0.9066372716
558	0.9044044256
559	0.9009133492
560	0.8974134137
561	0.8944482445
562	0.8930272283
563	0.8906387932
564	0.8890497943
565	0.88649296
566	0.8841926101
567	0.8808641553
568	0.8782124997
569	0.8760626554
570	0.8734877604
571	0.8726732912
572	0.871461237
573	0.8690095767
574	0.8679448313
575	0.8649106476
576	0.8630196727
577	0.8610970184
578	0.8588594003
579	0.8575122818
580	0.8552790497
581	0.8540904506
582	0.8523404435
583	0.8516615131
584	0.8506088754
585	0.8497382444
586	0.848549786
587	0.8481896998
588	0.8454078221
589	0.8442868025
590	0.8421259726
591	0.8408012693
592	0.8380369871
593	0.8356220176
594	0.835229566
595	0.8339587605
596	0.8322738415
597	0.8306688691
598	0.8291288484
599	0.8270673468
600	0.825922509
601	0.8249180655
602	0.8235739991
603	0.8222340998
604	0.8196798116
605	0.8179325271
606	0.8158650531
607	0.8144378412
608	0.8127638818
609	0.8102620942
610	0.809016858
611	0.8078156583
612	0.8051345784
613	0.8040654524
614	0.8015384957
615	0.8001383857
616	0.7988426941
617	0.7980791536
618	0.7970848836
619	0.7947297683
620	0.7937092254
621	0.7915924644
622	0.7905155159
623	0.7895426001
624	0.787879951
625	0.7869172039
626	0.7853527476
627	0.7836107905
628	0.7834401878
629	0.7818353535
630	0.7807385292
631	0.7779276828
632	0.7761682276
633	0.7749104291
634	0.7738901439
635	0.7717892483
636	0.7703058073
637	0.7693536078
638	0.7675402332
639	0.7674059839
640	0.7659598059
641	0.7650465259
642	0.7627514293
643	0.7622516594
644	0.761768576
645	0.7587487765
646	0.756841613
647	0.7547354147
648	0.7533419236
649	0.7524480627
650	0.7516474642
651	0.7487576806
652	0.7462747705
653	0.7436525103
654	0.7414803097
655	0.740032421
656	0.7384928091
657	0.7362225035
658	0.7347198983
659	0.7318924043
660	0.7316132098
661	0.7305825535
662	0.7297196256
663	0.7287941732
664	0.7262079646
665	0.7251381463
666	0.7242558803
667	0.7233693454
668	0.7224783956
669	0.7216309143
670	0.7207833978
671	0.7204755075
672	0.7172471255
673	0.7162327057
674	0.7140344235
675	0.7120967384
676	0.7112814992
677	0.709697
678	0.708242388
679	0.7070352121
680	0.7062656735
681	0.7039505844
682	0.7031504343
683	0.702090656
684	0.7007292399
685	0.7004461458
686	0.6986678843
687	0.6983920839
688	0.6981242977
689	0.6964672097
690	0.6962064596
691	0.6959537143
692	0.6941433299
693	0.6924703043
694	0.6914451484
695	0.6905014497
696	0.6902401415
697	0.6895327142
698	0.6883538237
699	0.6873849143
700	0.6858081831
701	0.6837067483
702	0.6814786392
703	0.6798352612
704	0.6786176005
705	0.6777272969
706	0.675809366
707	0.673925357
708	0.6730354446
709	0.6716960221
710	0.671469511
711	0.6708556236
712	0.669384909
713	0.6682882414
714	0.6664448295
715	0.6656204975
716	0.6640345961
717	0.6626339598
718	0.6618129785
719	0.6610299178
720	0.6604448776
721	0.6583159447
722	0.6566063674
723	0.6547808443
724	0.6539599928
725	0.6538371718
726	0.652204685
727	0.650856504
728	0.6502885352
729	0.6496389534
730	0.6487950194
731	0.6484126248
732	0.6473553144
733	0.64644196
734	0.6452646625
735	0.6438559799
736	0.6428179699
737	0.6415275797
738	0.6406849286
739	0.6392170609
740	0.6374200956
741	0.6364791696
742	0.6349316023
743	0.6342144889
744	0.633146551
745	0.6313901755
746	0.6310632811
747	0.6300156024
748	0.6286715378
749	0.6272215672
750	0.6263177164
751	0.625094591
752	0.6242667325
753	0.6229610145
754	0.6221776181
755	0.6218898856
756	0.6212694944
757	0.6202634426
758	0.6186935683
759	0.6176871083
760	0.6164639392
761	0.616186724
762	0.6148240788
763	0.6136226795
764	0.6129493498
765	0.6122441191
766	0.6106012325
767	0.6096457855
768	0.6085227394
769	0.6077516668
770	0.6064386398
771	0.6051435734
772	0.6040454685
773	0.6034455065
774	0.6023920798
775	0.6014005515
776	0.6005793399
777	0.6000249396
778	0.5988745557
779	0.5986192672
780	0.5976165647
781	0.5966720024
782	0.59524661
783	0.5942729411
784	0.5932056388
785	0.5919578396
786	0.5913251029
787	0.5910821425
788	0.5902248815
789	0.5893120708
790	0.5883703605
791	0.5870637323
792	0.5862278274
793	0.5854777583
794	0.5843958777
795	0.58347279
796	0.582559456
797	0.5818536655
798	0.5814285918
799	0.5803276451
800	0.5795602344
801	0.5793364433
802	0.5781642987
803	0.577283566
804	0.5760012014
805	0.5750936156
806	0.5743217419
807	0.5736087821
808	0.5722467932
809	0.5710533514
810	0.5700220943
811	0.5694147346
812	0.5684060242
813	0.5675985799
814	0.5668051833
815	0.5657587398
816	0.5654960238
817	0.5647402656
818	0.5634383422
819	0.5625145496
820	0.5618239025
821	0.5613294684
822	0.5605743679
823	0.5595184943
824	0.5592662999
825	0.5586413834
826	0.5581744364
827	0.5576318648
828	0.5566224884
829	0.5552779142
830	0.5551678639
831	0.5543549638
832	0.5534304463
833	0.5533254573
834	0.5519917578
835	0.5511646987
836	0.5503682291
837	0.5485071224
838	0.5472398774
839	0.5470454785
840	0.5453118521
841	0.5439401198
842	0.5437506432
843	0.5429415373
844	0.5427574094
845	0.5416270905
846	0.5404780011
847	0.5402486265
848	0.5391208802
849	0.5387116018
850	0.5385346558
851	0.5381516779
852	0.5375185901
853	0.536597433
854	0.5352314089
855	0.53428461
856	0.5332156541
857	0.5325999466
858	0.5324333836
859	0.5319051704
860	0.5308410517
861	0.5298882581
862	0.5291703393
863	0.5290098625
864	0.5281923181
865	0.5278189901
866	0.527056628
867	0.5265378906
868	0.5256908591
869	0.5253356934
870	0.5245732637
871	0.5237428524
872	0.5235854538
873	0.5233918964
874	0.5228099366
875	0.5218619789
876	0.5217782588
877	0.5209382823
878	0.520214999
879	0.519351362
880	0.5185569224
881	0.5181324844
882	0.5174975069
883	0.5169215754
884	0.5167749893
885	0.5158360935
886	0.5154072604
887	0.5150298368
888	0.5144517256
889	0.5138430396
890	0.5128486472
891	0.5121817998
892	0.5115775292
893	0.5107174601
894	0.5093999139
895	0.5088630553
896	0.5085216355
897	0.5084451886
898	0.5083103124
899	0.5078830392
900	0.5074645389
901	0.5073348104
902	0.5068837056
903	0.50684764
904	0.5059760488
905	0.5055859898
906	0.504551301
907	0.5037544896
908	0.503053284
909	0.5022291737
910	0.5013872171
911	0.5009267959
912	0.4999806307
913	0.4995547739
914	0.4986293774
915	0.4974430698
916	0.496702212
917	0.4960017926
918	0.4951308421
919	0.4943583729
920	0.4936106155
921	0.4929651517
922	0.4926440532
923	0.4917800647
924	0.4914102963
925	0.4908444252
926	0.4908113225
927	0.490636419
928	0.4898575246
929	0.4891743777
930	0.4887629916
931	0.4878417526
932	0.4872455783
933	0.4870103029
934	0.4866092191
935	0.4860544226
936	0.4856190825
937	0.4848789321
938	0.4843248028
939	0.4842922767
940	0.4834325127
941	0.482645517
942	0.4822640723
943	0.4822340252
944	0.4817106101
945	0.4810600285
946	0.4804558728
947	0.4804266281
948	0.4794606304
949	0.4790258105
950	0.4782823445
951	0.4778398363
952	0.4768058131
953	0.4763264854
954	0.4757093996
955	0.4751504606
956	0.4740353057
957	0.4740069779
958	0.4736572352
959	0.472873121
960	0.4727542034
961	0.472123023
962	0.4720721213
963	0.4715147157
964	0.4708181153
965	0.4702928154
966	0.4699597262
967	0.4698993626
968	0.4688759663
969	0.4680695296
970	0.4672961261
971	0.4666584128
972	0.466093506
973	0.4656438384
974	0.4647666583
975	0.4643022865
976	0.4640083816
977	0.4635530788
978	0.4629229077
979	0.4625432365
980	0.4618173561
981	0.4611991867
982	0.4605940514
983	0.4596267478
984	0.4589851534
985	0.4581972811
986	0.457365068
987	0.4563838081
988	0.4556030184
989	0.4552756194
990	0.4543184845
991	0.4537962645
992	0.4533395766
993	0.4526005614
994	0.4522765777
995	0.4518636694
996	0.4511591316
997	0.4503843712
998	0.4498879681
999	0.4493812985
