iter	Passed	Remaining
579	620	449
580	621	448
581	622	446
582	622	445
583	623	444
584	624	443
585	625	442
586	626	440
587	627	439
588	628	438
589	629	437
590	630	436
591	631	434
592	631	433
593	632	432
594	633	431
595	634	430
596	635	428
597	636	427
598	637	426
599	638	425
600	639	424
601	640	423
602	640	422
603	641	420
604	642	419
605	643	418
606	644	417
607	645	415
608	645	414
609	646	413
610	647	412
611	648	411
612	649	410
613	650	408
614	651	407
615	652	406
616	653	405
617	655	405
618	656	403
619	657	402
620	658	401
621	658	400
622	659	399
623	660	398
624	661	397
625	662	396
626	663	394
627	664	393
628	665	392
629	666	391
630	667	390
631	668	389
632	668	387
633	669	386
634	670	385
635	671	384
636	672	383
637	673	382
638	674	381
639	675	379
640	676	378
641	677	377
642	677	376
643	678	375
644	679	374
645	680	372
646	681	371
647	682	370
648	683	369
649	684	368
650	685	367
651	686	366
652	687	365
653	688	364
654	688	362
655	689	361
656	690	360
657	691	359
658	692	358
659	693	357
660	694	356
661	695	355
662	696	353
663	697	352
664	698	351
665	699	350
666	699	349
667	700	348
668	701	347
669	702	345
670	703	344
671	704	343
672	704	342
673	706	341
674	707	340
675	708	339
676	709	338
677	710	337
678	711	336
679	711	335
680	713	334
681	714	332
682	714	331
683	715	330
684	716	329
685	717	328
686	718	327
687	719	326
688	720	325
689	721	323
690	722	322
691	722	321
692	723	320
693	724	319
694	725	318
695	726	317
696	727	316
697	728	315
698	729	313
699	730	312
700	731	311
701	731	310
702	732	309
703	733	308
704	734	307
705	735	306
706	736	305
707	737	304
708	738	302
709	739	301
710	740	300
711	740	299
712	741	298
713	742	297
714	743	296
715	744	295
716	745	294
717	746	293
718	747	292
719	748	291
720	749	289
721	752	289
722	753	288
723	757	288
724	761	288
725	763	288
726	765	287
727	767	286
728	769	285
729	775	286
730	777	286
731	780	285
732	782	284
733	784	284
734	785	283
735	786	282
736	789	281
737	792	281
738	793	280
739	794	279
740	796	278
741	797	277
742	798	276
743	799	275
744	801	274
745	805	274
746	806	273
747	807	272
748	810	271
749	812	270
750	813	269
751	815	268
752	816	267
753	818	266
754	819	265
755	821	264
756	822	263
757	823	262
758	824	261
759	825	260
760	827	259
761	829	258
762	829	257
763	830	256
764	831	255
765	832	254
766	833	253
767	834	251
768	834	250
769	835	249
770	837	248
771	838	247
772	839	246
773	840	245
774	840	244
775	841	242
776	842	241
777	843	240
778	844	239
779	846	238
780	847	237
781	848	236
782	849	235
783	851	234
784	852	233
785	853	232
786	854	231
787	854	230
788	855	228
789	856	227
790	857	226
791	859	225
792	860	224
793	862	223
794	863	222
795	864	221
796	865	220
797	866	219
798	867	218
799	868	217
800	869	216
801	870	214
802	871	213
803	872	212
804	873	211
805	874	210
806	875	209
807	877	208
808	878	207
809	878	206
810	879	205
811	880	203
812	881	202
813	884	202
814	885	200
815	886	199
816	887	198
817	887	197
818	888	196
819	889	195
820	890	194
821	892	193
822	893	192
823	894	191
824	895	190
825	900	189
826	901	188
827	902	187
828	904	186
829	905	185
830	906	184
831	907	183
832	908	182
833	909	181
834	910	179
835	911	178
836	912	177
837	913	176
838	915	175
839	916	174
840	918	173
841	919	172
842	920	171
843	921	170
844	922	169
845	923	168
846	925	167
847	926	166
848	927	164
849	928	163
850	929	162
851	930	161
852	931	160
853	932	159
854	933	158
855	935	157
856	937	156
857	939	155
858	944	155
859	948	154
860	949	153
861	955	152
862	957	152
863	959	151
864	960	149
865	961	148
866	962	147
867	963	146
868	964	145
869	966	144
870	966	143
871	967	142
872	969	140
873	969	139
874	970	138
875	974	137
876	975	136
877	976	135
878	977	134
879	978	133
880	979	132
881	980	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	988	123
889	989	122
890	991	121
891	993	120
892	994	119
893	995	118
894	996	116
895	996	115
896	997	114
897	998	113
898	999	112
899	1000	111
900	1001	110
901	1002	108
902	1003	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1008	102
908	1009	101
909	1010	99
910	1011	98
911	1012	97
912	1012	96
913	1014	95
914	1014	94
915	1015	93
916	1016	92
917	1017	90
918	1018	89
919	1019	88
920	1020	87
921	1021	86
922	1022	85
923	1023	84
924	1024	83
925	1025	81
926	1026	80
927	1034	80
928	1036	79
929	1037	78
930	1040	77
931	1041	75
932	1042	74
933	1050	74
934	1053	73
935	1054	72
936	1056	71
937	1057	69
938	1061	68
939	1062	67
940	1063	66
941	1064	65
942	1065	64
943	1066	63
944	1068	62
945	1069	61
946	1071	59
947	1071	58
948	1072	57
949	1074	56
950	1076	55
951	1077	54
952	1078	53
953	1078	52
954	1079	50
955	1081	49
956	1082	48
957	1083	47
958	1086	46
959	1087	45
960	1088	44
961	1089	43
962	1090	41
963	1091	40
964	1092	39
965	1093	38
966	1095	37
967	1098	36
968	1099	35
969	1104	34
970	1105	33
971	1105	31
972	1108	30
973	1108	29
974	1110	28
975	1112	27
976	1115	26
977	1118	25
978	1119	24
979	1121	22
980	1122	21
981	1127	20
982	1130	19
983	1132	18
984	1134	17
985	1136	16
986	1138	14
987	1139	13
988	1140	12
989	1141	11
990	1143	10
991	1144	9
992	1146	8
993	1147	6
994	1148	5
995	1149	4
996	1150	3
997	1151	2
998	1153	1
999	1155	0
