DATE/TIME(America/Asuncion),Latitud,Longitud,TK 1 BR,TK 2 BR,TK 3 BR,TK 1 STB,TK 2 STB,TK 3 STB,Velocidad,TK Diario BR,TK Diario STB,TK Gen,TK Gen AUX,Flow Rate Prop. BR,Flow Rate Prop. STB,Flow Rate Gen. BR,Flow Rate Gen. STB,Flow Rate Gen. AUX,Flow Carga Diario,Flow Carga Barcaza,Flow Carga Generador,Trip Volume Prop. BR,Trip Volume Prop. STB,Trip Volume Gen. BR,Trip Volume Gen. STB,Trip Volume Gen. AUX,Carga Diario,Carga Barcaza,Carga Generador,RPM Prop. BR,RPM Prop. STB,Remanencia Total,Caudalímetros Total,Estado
08-03-2025 13:12:15,-25.60601806640625,-57.60660171508789,0.0,1935.3659999999998,9.4453,33.036,454.08,18.8906,0.011391687665557369,187.5382,120.62,6948.374,1799.4160000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11506.766100000003,16777245.0,0.0
08-03-2025 13:22:29,-25.60601806640625,-57.60660171508789,0.0,1935.3659999999998,9.4453,33.036,454.08,18.8906,0.011391687665557369,136.8522,120.62,6948.374,1803.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11460.5241,16777245.0,0.0
08-03-2025 13:32:43,-25.60601806640625,-57.60660171508789,0.0,1935.3659999999998,9.4453,33.036,323.35999999999996,18.8906,0.011391687665557369,136.8522,120.62,6928.255999999999,1795.1740000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11301.000100000001,16777245.0,0.0
08-03-2025 13:41:56,-25.60601806640625,-57.60660171508789,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.011391687665557369,136.8522,120.62,6928.255999999999,1795.1740000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11295.4941,16777245.0,0.0
08-03-2025 13:52:11,-25.60601806640625,-57.60660171508789,0.0,1935.3659999999998,9.4453,33.036,323.35999999999996,18.8906,0.011391687665557369,136.8522,120.62,6928.255999999999,1795.1740000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11301.000100000001,16777245.0,0.0
08-03-2025 14:02:25,-25.60601806640625,-57.60660171508789,0.0,1935.3659999999998,9.4453,33.036,323.35999999999996,18.8906,0.011391687665557369,136.8522,120.62,6928.255999999999,1790.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11296.5561,16777245.0,0.0
08-03-2025 14:12:39,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.011391687665557369,136.8522,120.62,6928.255999999999,1786.4879999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11286.808099999998,16777245.0,0.0
08-03-2025 14:22:53,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,101.37200000000001,120.62,6907.18,1786.4879999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11230.2519,16777245.0,0.0
08-03-2025 14:33:08,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,33.036,323.35999999999996,18.8906,0.0,187.5382,120.62,6928.255999999999,1786.4879999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11343.0001,16777245.0,0.0
08-03-2025 14:43:22,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,22.024,199.52,18.8906,0.0,136.8522,120.62,6907.18,1782.0439999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11131.9421,16777245.0,0.0
08-03-2025 14:52:35,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,22.024,199.52,18.8906,0.0,187.5382,120.62,6907.18,1777.8020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11178.386100000002,16777245.0,0.0
08-03-2025 15:02:48,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,27.53,199.52,18.8906,0.0,136.8522,120.62,6907.18,1773.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11128.964100000001,16777245.0,0.0
08-03-2025 15:13:03,-25.606056213378906,-57.606510162353516,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,136.8522,120.62,6907.18,1782.0439999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11261.288100000002,16777245.0,0.0
08-03-2025 15:23:17,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,199.52,18.8906,0.0,187.5382,120.62,6907.18,1773.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11179.6501,16777245.0,0.0
08-03-2025 15:33:30,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,199.52,18.8906,0.0,136.8522,120.62,6888.02,1777.8020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11114.046100000001,16777245.0,0.0
08-03-2025 15:43:46,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,101.37200000000001,120.62,6888.02,1777.8020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11202.4059,16777245.0,0.0
08-03-2025 15:53:58,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,33.036,323.35999999999996,18.8906,0.0,136.8522,120.62,6888.02,1777.8020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11243.392100000001,16777245.0,0.0
08-03-2025 16:03:12,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,199.52,18.8906,0.0,136.8522,120.62,6948.374,1769.3180000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11165.9161,16777245.0,0.0
08-03-2025 16:13:26,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,199.52,18.8906,0.0,136.8522,120.62,6968.491999999999,1765.0759999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11181.792099999999,16777245.0,0.0
08-03-2025 16:23:40,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,28.335899999999995,27.53,323.35999999999996,18.8906,0.0,136.8522,120.62,6968.491999999999,1756.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11315.8367,16777245.0,0.0
08-03-2025 16:33:53,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,28.335899999999995,27.53,323.35999999999996,18.8906,0.0,136.8522,120.62,6988.61,1756.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11335.9547,16777245.0,0.0
08-03-2025 16:44:08,-25.6060733795166,-57.606502532958984,21.880399999999998,1935.3659999999998,28.335899999999995,33.036,454.08,18.8906,0.0,240.7585,120.62,7008.727999999999,1760.6319999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11622.3274,16777245.0,0.0
08-03-2025 16:54:22,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,187.5382,120.62,6988.61,1747.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11359.0641,16777245.0,0.0
08-03-2025 17:04:37,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,136.8522,120.62,6988.61,1751.9460000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11312.6201,16777245.0,0.0
08-03-2025 17:13:50,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,101.37200000000001,120.62,6988.61,1747.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11272.8979,16777245.0,0.0
08-03-2025 17:24:04,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,27.53,323.35999999999996,18.8906,0.0,136.8522,120.62,6988.61,1747.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11308.3781,16777245.0,0.0
08-03-2025 17:34:18,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,33.036,454.08,18.8906,0.0,101.37200000000001,120.62,6988.61,1747.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11409.1239,16777245.0,0.0
08-03-2025 17:44:33,-25.6060733795166,-57.606502532958984,0.0,1935.3659999999998,9.4453,33.036,323.35999999999996,18.8906,0.0,136.8522,120.62,6988.61,1747.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,16777215.0,0.0,0.0,0.0,0.0,0.0,0.0,11313.8841,16777245.0,0.0
